Sensor,Value,Units
BMP180_Pressure,102.724,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.724,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.713,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.730,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.727,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.716,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.727,kPa
BMP180_Temperature,20.8,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.716,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.713,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.713,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.716,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.713,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.718,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.719,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.721,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.719,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.719,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.719,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.722,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.717,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.714,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.711,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.693,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.693,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,20.9,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.693,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.696,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.705,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.693,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.708,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.699,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.702,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.700,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.700,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.700,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.703,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.697,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.694,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.691,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.688,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.682,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.685,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.674,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.676,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.679,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.673,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.0,c
BMP180_Pressure,102.674,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.668,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.674,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.677,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.668,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.674,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.677,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.677,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.677,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.662,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.662,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.662,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.671,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.668,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.665,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.662,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.650,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.650,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.650,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.650,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.644,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.650,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.644,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.644,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.644,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.647,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.651,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.654,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.659,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.653,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.656,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.1,c
BMP180_Pressure,102.651,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.639,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.639,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.651,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.634,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.654,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.654,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.634,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.634,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.654,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.634,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.651,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.657,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.639,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.648,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.651,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.651,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.634,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.634,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.645,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.631,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.639,kPa
BMP180_Temperature,21.2,c
BMP180_Pressure,102.642,kPa
BMP180_Temperature,21.2,c
